Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","562.98047","Escherichia coli 4ab40810-7bb9-11e9-a8d3-68b59976a384","fig|562.98047.peg.248",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.98143","Escherichia coli 87c376e6-7bb9-11e9-a8d3-68b59976a384","fig|562.98143.peg.1063",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.97867","Escherichia coli 0b5918a4-7bb9-11e9-a8d3-68b59976a384","fig|562.97867.peg.860",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.45848","Escherichia coli strain URMC_50","fig|562.45848.peg.4337","ELX48_10280",,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.96938","Escherichia coli VREC1592","fig|562.96938.peg.1132",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.98337","Escherichia coli 6f404e82-7bb9-11e9-a8d3-68b59976a384","fig|562.98337.peg.255",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.57309","Escherichia coli strain 24742_1#259","fig|562.57309.peg.1022",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.7762","Escherichia coli strain 503238_aEPEC","fig|562.7762.peg.810","ERS085401_00787",,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic target in susceptible species","fluoroquinolones quinolones quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.97117","Escherichia coli VREC1632","fig|562.97117.peg.809",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99679","Escherichia coli 4c5cdaf2-7bb9-11e9-a8d3-68b59976a384","fig|562.99679.peg.146",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.97443","Escherichia coli VREC1558","fig|562.97443.peg.629",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.42723","Escherichia coli strain 347","fig|562.42723.peg.1615",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.140883","Escherichia coli 013-E1-U02","fig|562.140883.peg.219",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.98835","Escherichia coli 81183468-7bb8-11e9-a8d3-68b59976a384","fig|562.98835.peg.329",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97939","Escherichia coli b506a642-7bb8-11e9-a8d3-68b59976a384","fig|562.97939.peg.833",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.58781","Escherichia coli strain ENV316","fig|562.58781.peg.1872",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.100801","Escherichia coli 03917602-7bb9-11e9-a8d3-68b59976a384","fig|562.100801.peg.3328",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.57458","Escherichia coli strain PB207","fig|562.57458.peg.4089",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.99112","Escherichia coli e645eeca-7bb8-11e9-a8d3-68b59976a384","fig|562.99112.peg.2585",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99758","Escherichia coli 8e60340e-7bb8-11e9-a8d3-68b59976a384","fig|562.99758.peg.1332",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.140832","Escherichia coli 015-E1-S11","fig|562.140832.peg.381",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.7664","Escherichia coli strain 402138_aEPEC","fig|562.7664.peg.1365","ERS085439_01366",,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic target in susceptible species","fluoroquinolones quinolones quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.97237","Escherichia coli VREC1397","fig|562.97237.peg.463",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96645","Escherichia coli VREC0850","fig|562.96645.peg.849",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"BLAT","Antibiotic Resistance","CARD","562.98078","Escherichia coli c165407e-7bb8-11e9-a8d3-68b59976a384","fig|562.98078.peg.1694",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.57213","Escherichia coli strain 24742_1#172","fig|562.57213.peg.92",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.135559","Escherichia coli MGL_90","fig|562.135559.peg.126","R2R64_16340",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99545","Escherichia coli 1ab1265c-7bb9-11e9-a8d3-68b59976a384","fig|562.99545.peg.237",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.23365","Escherichia coli O25:H4 strain ECO1130","fig|562.23365.peg.131",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"BLAT","Antibiotic Resistance","CARD","562.99859","Escherichia coli ef2531c2-7bb8-11e9-a8d3-68b59976a384","fig|562.99859.peg.230",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.96906","Escherichia coli VRES1107","fig|562.96906.peg.132",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.96461","Escherichia coli VREC0674","fig|562.96461.peg.3493",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.59220","Escherichia coli strain PBIO1945","fig|562.59220.peg.794",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97283","Escherichia coli VREC1416","fig|562.97283.peg.2553",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100250","Escherichia coli 58723580-7bb9-11e9-a8d3-68b59976a384","fig|562.100250.peg.1600",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.57456","Escherichia coli strain PB303","fig|562.57456.peg.3746",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.23737","Escherichia coli O25:H4 strain ECO1467","fig|562.23737.peg.668",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96995","Escherichia coli VRES1152","fig|562.96995.peg.353",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.96684","Escherichia coli VRES0858","fig|562.96684.peg.1839",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98077","Escherichia coli 67db1366-7bb9-11e9-a8d3-68b59976a384","fig|562.98077.peg.1582",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96596","Escherichia coli VREC0799","fig|562.96596.peg.356",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"BLAT","Antibiotic Resistance","CARD","562.96782","Escherichia coli VREC0926","fig|562.96782.peg.328",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97048","Escherichia coli VREC1173","fig|562.97048.peg.42",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.45635","Escherichia coli strain EC_47","fig|562.45635.peg.2432","EXX46_01940",,"WP_001281243.1",,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.96423","Escherichia coli VRES0692","fig|562.96423.peg.332","MMN38_15260",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,100,100,99,"0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97061","Escherichia coli VRES1301","fig|562.97061.peg.195",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.100565","Escherichia coli bc4910d8-7bb9-11e9-a8d3-68b59976a384","fig|562.100565.peg.2042",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99892","Escherichia coli b3d51b7c-7bb9-11e9-a8d3-68b59976a384","fig|562.99892.peg.1728",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.96484","Escherichia coli VRES0715","fig|562.96484.peg.1807","MMN38_10290",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.100490","Escherichia coli eb2a5b38-7bb8-11e9-a8d3-68b59976a384","fig|562.100490.peg.69",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.96846","Escherichia coli VREC0983","fig|562.96846.peg.1201",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99906","Escherichia coli af88944a-7bb9-11e9-a8d3-68b59976a384","fig|562.99906.peg.302",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.96863","Escherichia coli VREC0991","fig|562.96863.peg.342",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.97075","Escherichia coli VRES1306","fig|562.97075.peg.326",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.97431","Escherichia coli VREC1564","fig|562.97431.peg.395","AML01_13780",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,99,
"BLAT","Antibiotic Resistance","CARD","562.96474","Escherichia coli VREC0671","fig|562.96474.peg.2605",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.7777","Escherichia coli strain 402842","fig|562.7777.peg.169","ERS139255_00170",,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant;fluoroquinolone resistance gene",,,,100,100,100,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97908","Escherichia coli 8ab070c0-7bb9-11e9-a8d3-68b59976a384","fig|562.97908.peg.315",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.22650","Escherichia coli O25:H4 strain ECO0237","fig|562.22650.peg.1144",,,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100730","Escherichia coli a45c18a4-7bb8-11e9-a8d3-68b59976a384","fig|562.100730.peg.2004",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.98839","Escherichia coli 82cd48f2-7bb8-11e9-a8d3-68b59976a384","fig|562.98839.peg.1073",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.97953","Escherichia coli cdc49658-7bb8-11e9-a8d3-68b59976a384","fig|562.97953.peg.325",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.42654","Escherichia coli strain 159","fig|562.42654.peg.3195",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.135588","Escherichia coli MGL_136","fig|562.135588.peg.1298","R2R64_16340",,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"BLAT","Antibiotic Resistance","CARD","562.57394","Escherichia coli strain W1_7_ERB1","fig|562.57394.peg.116",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.97220","Escherichia coli VREC1388","fig|562.97220.peg.467",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.23076","Escherichia coli O1:H6 strain ECO0713","fig|562.23076.peg.232",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"AMRFinderPlus: POINTP","Antibiotic Resistance","NDARO","562.42737","Escherichia coli strain 406","fig|562.42737.peg.115",,,"WP_001281243.1",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia quinolone resistant GyrA",,"quinolone","quinolone",,99,100,98,
"K-mer Search","Antibiotic Resistance","PATRIC","562.96452","Escherichia coli VREC0665","fig|562.96452.peg.413",,,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"RGI: protein variant model","Antibiotic Resistance","CARD","562.97487","Escherichia coli VREC1616","fig|562.97487.peg.664","AML27_21640",,"1545",,,"DNA gyrase subunit A (EC 5.99.1.3)","Escherichia coli gyrA conferring resistance to fluoroquinolones","antibiotic target alteration","fluoroquinolone","enoxacin;ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;lomefloxacin;nalidixic acid;norfloxacin;ofloxacin;trovafloxacin;grepafloxacin;sparfloxacin;pefloxacin",,,,,
